,EntityNumber,ActivityGroup,NaceVersion,NaceCode,Classification
4440,0212.180.570,PPO001,2008,84115,MAIN
4441,0212.180.570,BTW001,2008,87902,MAIN
6434,0258.327.133,PPO001,2008,84115,MAIN
6455,0260.149.347,PPO001,2008,84115,MAIN
7852,0400.145.586,BTW001,2008,24340,MAIN
7853,0400.145.586,BTW001,2003,27340,MAIN
8158,0400.198.145,RSZ001,2008,65121,MAIN
8159,0400.198.145,RSZ001,2003,66031,MAIN
47072,0407.914.001,BTW001,2008,93110,MAIN
47073,0407.914.001,BTW001,2008,56290,SECO
47074,0407.914.001,BTW001,2008,73110,SECO
47075,0407.914.001,BTW001,2003,92611,MAIN
47076,0407.914.001,BTW001,2003,55510,SECO
47077,0407.914.001,BTW001,2003,74401,SECO
51384,0409.177.672,BTW001,2008,56301,MAIN
53221,0410.172.121,RSZ001,2008,94910,MAIN
53222,0410.172.121,RSZ001,2003,91310,MAIN
60114,0412.745.193,BTW001,2008,91011,MAIN
60115,0412.745.193,BTW001,2003,92510,MAIN
63379,0413.288.987,BTW001,2008,56301,MAIN
63380,0413.288.987,BTW001,2003,55401,MAIN
63673,0413.385.096,BTW001,2008,56301,MAIN
63674,0413.385.096,BTW001,2003,55401,MAIN
73476,0415.127.732,BTW001,2008,93110,MAIN
73477,0415.127.732,BTW001,2003,92611,MAIN
75061,0415.390.820,BTW001,2008,43221,MAIN
75062,0415.390.820,BTW001,2003,45332,MAIN
90759,0417.640.230,BTW001,2008,93121,MAIN
90760,0417.640.230,BTW001,2008,56309,SECO
90761,0417.640.230,BTW001,2003,55401,MAIN
113390,0420.601.601,BTW001,2008,93121,MAIN
113391,0420.601.601,BTW001,2008,56309,SECO
113413,0420.609.717,RSZ001,2008,94999,MAIN
113414,0420.609.717,BTW001,2008,56309,MAIN
113415,0420.609.717,BTW001,2003,55401,MAIN
113416,0420.609.717,RSZ001,2003,91330,MAIN
123041,0421.910.804,BTW001,2008,61200,MAIN
123042,0421.910.804,BTW001,2003,64200,MAIN
137148,0423.429.150,BTW001,2008,90021,MAIN
137149,0423.429.150,BTW001,2008,82300,SECO
141377,0423.941.567,BTW001,2008,90023,MAIN
141378,0423.941.567,BTW001,2003,92313,MAIN
143246,0424.165.558,BTW001,2008,56290,MAIN
143247,0424.165.558,BTW001,2003,55510,MAIN
145321,0424.452.501,BTW001,2008,90012,MAIN
145322,0424.452.501,BTW001,2003,92312,MAIN
146450,0424.607.897,BTW001,2008,70220,MAIN
146451,0424.607.897,BTW001,2008,85599,SECO
148382,0424.835.947,BTW001,2008,93121,MAIN
148383,0424.835.947,BTW001,2008,56290,SECO
148384,0424.835.947,BTW001,2003,92621,MAIN
148385,0424.835.947,BTW001,2003,55510,SECO
188725,0428.920.736,BTW001,2008,71121,MAIN
188726,0428.920.736,BTW001,2008,43299,SECO
188727,0428.920.736,BTW001,2003,74203,MAIN
188728,0428.920.736,BTW001,2003,45340,SECO
193013,0429.358.919,BTW001,2008,70220,MAIN
193014,0429.358.919,BTW001,2003,74142,MAIN
222761,0432.752.830,BTW001,2008,73110,MAIN
222762,0432.752.830,BTW001,2003,74401,MAIN
243991,0435.053.314,RSZ001,2008,94992,MAIN
243992,0435.053.314,RSZ001,2003,85323,MAIN
261566,0436.847.220,RSZ001,2008,93211,MAIN
261567,0436.847.220,BTW001,2008,93211,MAIN
261568,0436.847.220,BTW001,2003,92331,MAIN
261569,0436.847.220,RSZ001,2003,92331,MAIN
278445,0438.512.551,BTW001,2008,1500,MAIN
278446,0438.512.551,BTW001,2003,1300,MAIN
281864,0438.861.949,BTW001,2008,31091,MAIN
281865,0438.861.949,BTW001,2003,36141,MAIN
283779,0439.042.685,RSZ001,2008,94999,MAIN
283780,0439.042.685,BTW001,2008,94999,MAIN
283781,0439.042.685,RSZ001,2003,91330,MAIN
314558,0442.073.045,BTW001,2008,1500,MAIN
314559,0442.073.045,BTW001,2003,1300,MAIN
319937,0442.633.764,BTW001,2008,47594,MAIN
319938,0442.633.764,BTW001,2003,52450,MAIN
362216,0447.013.612,BTW001,2008,90012,MAIN
362217,0447.013.612,BTW001,2003,92312,MAIN
369276,0447.674.497,BTW001,2008,1500,MAIN
369277,0447.674.497,BTW001,2003,1300,MAIN
370142,0447.751.109,BTW001,2008,1500,MAIN
370143,0447.751.109,BTW001,2003,1300,MAIN
371429,0447.865.430,BTW001,2008,46180,MAIN
371430,0447.865.430,BTW001,2003,93053,MAIN
375482,0448.278.768,BTW001,2008,1410,MAIN
375483,0448.278.768,BTW001,2008,1462,SECO
375484,0448.278.768,BTW001,2003,1210,MAIN
375485,0448.278.768,BTW001,2003,1232,SECO
392481,0449.921.731,BTW001,2008,46496,MAIN
392482,0449.921.731,BTW001,2003,51476,MAIN
425248,0453.027.414,BTW001,2008,47512,MAIN
425249,0453.027.414,BTW001,2003,52410,MAIN
430248,0453.496.180,BTW001,2008,1500,MAIN
430249,0453.496.180,BTW001,2008,81300,SECO
430250,0453.496.180,BTW001,2003,1300,MAIN
430251,0453.496.180,BTW001,2003,1410,SECO
440963,0454.309.693,BTW001,2008,56290,MAIN
440964,0454.309.693,BTW001,2008,77293,SECO
440965,0454.309.693,BTW001,2003,55510,MAIN
440966,0454.309.693,BTW001,2003,71404,SECO
454099,0455.432.618,BTW001,2008,93199,MAIN
454100,0455.432.618,BTW001,2003,92623,MAIN
461633,0456.064.108,BTW001,2008,47540,MAIN
461634,0456.064.108,BTW001,2003,52450,MAIN
475155,0457.188.516,BTW001,2008,61200,MAIN
475156,0457.188.516,BTW001,2008,46900,SECO
475157,0457.188.516,BTW001,2003,64200,MAIN
534816,0461.924.391,RSZ001,2008,94999,MAIN
