,EntityNumber,TypeOfAddress,CountryNL,CountryFR,Zipcode,MunicipalityNL,MunicipalityFR,StreetNL,StreetFR,HouseNumber,Box,ExtraAddressInfo,DateStrikingOff
4388,0212.180.570,REGO,,,8790,Waregem,Waregem,Schakelstraat,Schakelstraat,41,,,
6178,0258.327.133,REGO,,,4520,Wanze,Wanze,Chaussée de Wavre(WAN),Chaussée de Wavre(WAN),39,,,
6187,0260.149.347,REGO,,,4520,Wanze,Wanze,Rue Joseph Wauters(WAN),Rue Joseph Wauters(WAN),57,,,
7208,0400.145.586,REGO,Luxemburg (Groot-Hertogdom),Luxembourg (Grand-Duché),,Luxembourg,Luxembourg,Avenue de la Liberté,Avenue de la Liberté,17,,,
7209,0400.145.586,ABBR,,,9200,Dendermonde,Dendermonde,Zeelsebaan (GRE),Zeelsebaan (GRE),83,,,
7239,0400.152.021,REGO,,,9800,Deinze,Deinze,Kapellestraat,Kapellestraat,62,,,
7420,0400.198.145,REGO,,,9750,Kruisem,Kruisem,Ouwegemstraat,Ouwegemstraat,14,,,
8076,0400.366.015,REGO,,,7134,Binche,Binche,Rue Saint-Fiacre(EP),Rue Saint-Fiacre(EP),18,,,
10887,0401.005.522,REGO,,,9910,Aalter,Aalter,Nieuwstraat,Nieuwstraat,5,,,
10925,0401.012.549,REGO,,,9800,Deinze,Deinze,Gentsesteenweg,Gentsesteenweg,200,,,
10962,0401.021.061,REGO,,,9880,Aalter,Aalter,Stationsstraat,Stationsstraat,46,,,
11117,0401.059.267,REGO,,,9930,Lievegem,Lievegem,Kleitstraat,Kleitstraat,9,,,
11442,0401.146.567,REGO,,,7864,Lessines,Lessines,Chemin de Mons à Gand(DA),Chemin de Mons à Gand(DA),19,,,
11444,0401.146.765,REGO,,,7866,Lessines,Lessines,Chemin du Grand Denis(OL),Chemin du Grand Denis(OL),10,,,
11494,0401.158.841,REGO,,,7860,Lessines,Lessines,Rue des Fosses(L),Rue des Fosses(L),37,,,
11507,0401.161.712,REGO,,,7864,Lessines,Lessines,Rue de la Station d'Acren(DA),Rue de la Station d'Acren(DA),46,,,
11517,0401.164.779,REGO,,,7130,Binche,Binche,Avenue Jean Derave(BIN),Avenue Jean Derave(BIN),6,,,
11525,0401.167.056,REGO,,,7120,Estinnes,Estinnes,Rue Lefébure E.(Haul),Rue Lefébure E.(Haul),14,,,
11558,0401.175.370,REGO,,,7134,Binche,Binche,Rue des Garennes(RES),Rue des Garennes(RES),-,,,
11586,0401.180.617,REGO,,,7120,Estinnes,Estinnes,Rue Lefébure E.(Haul),Rue Lefébure E.(Haul),14,,,
11607,0401.185.268,REGO,,,7850,Enghien,Enghien,Steenweg op Asse(P.E.),Chaussée d'Asse(P.E.),49,,,
11646,0401.195.067,REGO,,,7860,Lessines,Lessines,Rue François Watterman(L),Rue François Watterman(L),30,,,
11653,0401.196.948,REGO,,,7860,Lessines,Lessines,Chaussée Gabrielle Richet(L),Chaussée Gabrielle Richet(L),231,,,
11659,0401.198.334,REGO,,,7861,Lessines,Lessines,Rue de l' Ecluse(p),Rue de l' Ecluse(p),152A,,,
11687,0401.205.757,REGO,,,7864,Lessines,Lessines,Chemin du Pérou(DA),Chemin du Pérou(DA),13,,,
11705,0401.208.925,REGO,,,7130,Binche,Binche,Rue Saint-Jacques(BIN),Rue Saint-Jacques(BIN),35,,,
11717,0401.211.301,REGO,,,7860,Lessines,Lessines,Rue de la Déportation(L),Rue de la Déportation(L),5-7,,,
11726,0401.213.576,REGO,,,7864,Lessines,Lessines,Rue Lessines(DA),Rue Lessines(DA),2,,,
11729,0401.214.071,REGO,,,7860,Lessines,Lessines,Rue de l'Hotellerie(L),Rue de l'Hotellerie(L),1,,,
11732,0401.214.863,REGO,,,7110,La Louvière,La Louvière,Rue Centrale(M),Rue Centrale(M),41,,,
11751,0401.220.011,REGO,,,7700,Mouscron,Mouscron,Sint Pieterstraat,Rue Saint-Pierre,52,,,
11802,0401.232.976,REGO,,,7700,Mouscron,Mouscron,Sint Pieterstraat,Rue Saint-Pierre,47,,,
11850,0401.244.062,REGO,,,7700,Mouscron,Mouscron,Coq-Anglaisstraat,Rue du Coq-Anglais,4,,,
11864,0401.247.230,REGO,Frankrijk,France,,Mouvaux,Mouvaux,Boulevard Carnot  148bis,Boulevard Carnot  148bis,,,,
11865,0401.247.230,ABBR,,,7700,Mouscron,Mouscron,Bergstraat,Rue de la Montagne,79,,,
11889,0401.252.871,REGO,Frankrijk,France,,Tourcoing,Tourcoing,Avenue Alfred Lefrançois,Avenue Alfred Lefrançois,13,,,
11890,0401.252.871,ABBR,,,7700,Mouscron,Mouscron,Stationplein,Place de la Gare,6,,,
11892,0401.253.366,REGO,,,7700,Mouscron,Mouscron,Sint Pieterstraat,Rue Saint-Pierre,52,,,
11897,0401.255.643,REGO,,,7700,Mouscron,Mouscron,Phénixstraat,Rue du Phénix,79,,,
11904,0401.257.920,REGO,Frankrijk,France,,Toulouse,Toulouse,Rue Ingres,Rue Ingres,22,,,
11905,0401.257.920,ABBR,,,7700,Mouscron,Mouscron,Victor Cornestraat,Rue Victor Corne,64,,,
11917,0401.260.393,REGO,,,7700,Mouscron,Mouscron,Filips de Goedestraat,Rue Philippe le Bon,55,,,
11918,0401.260.492,REGO,,,7700,Mouscron,Mouscron,Stationstraat,Rue de la Station,115,,,
11974,0401.273.360,REGO,Frankrijk,France,,Marcq en Baroeul,Marcq en Baroeul,Rue Nationale,Rue Nationale,115,,,
11975,0401.273.360,ABBR,,,7784,Comines-Warneton,Comines-Warneton,Steenweg op Rijsel(WAA),Chaussée de Lille(WAR),106,,,
11985,0401.275.340,REGO,,,7780,Comines-Warneton,Comines-Warneton,Werviksesteenweg(KOM),Chaussée de Wervicq(COM),174,,,
13760,0401.693.232,REGO,,,7141,Morlanwelz,Morlanwelz,Rue Alphonse Vanrôme(CAR),Rue Alphonse Vanrôme(CAR),27,,,
13902,0401.725.993,REGO,,,7141,Morlanwelz,Morlanwelz,Rue Royale(CAR),Rue Royale(CAR),130,,,
13989,0401.745.096,REGO,,,7170,Manage,Manage,Impasse de la Station,Impasse de la Station,10,,,
13998,0401.748.066,REGO,,,7100,La Louvière,La Louvière,Rue de Bouvy(L.L),Rue de Bouvy(L.L),SN,,,
14018,0401.753.313,REGO,,,7170,Manage,Manage,Place Communale,Place Communale,24,,,
14050,0401.762.122,REGO,,,7100,La Louvière,La Louvière,Rue du Commerce(PIE),Rue du Commerce(PIE),32,,,
14051,0401.762.518,REGO,,,7100,La Louvière,La Louvière,Rue de la Station(PIE),Rue de la Station(PIE),SN,,,
14069,0401.767.664,REGO,,,7110,La Louvière,La Louvière,Rue Harmegnies(S-B),Rue Harmegnies(S-B),30,,,
14077,0401.770.040,REGO,,,7110,La Louvière,La Louvière,Rieu Baron(H-G),Rieu Baron(H-G),16,,,
14099,0401.775.681,REGO,,,7100,La Louvière,La Louvière,Avenue Rêve d'or(L.L),Avenue Rêve d'or(L.L),8,,,
14101,0401.776.770,REGO,,,7170,Manage,Manage,Rue Joseph Wauters,Rue Joseph Wauters,228,,,
14135,0401.786.173,REGO,,,7100,La Louvière,La Louvière,Rue Sylvain Guyaux(L.L),Rue Sylvain Guyaux(L.L),24,,,
14147,0401.787.856,REGO,,,7100,La Louvière,La Louvière,Rue Duchâteau(PIE),Rue Duchâteau(PIE),48,,,
14159,0401.790.727,REGO,,,7170,Manage,Manage,Avenue Emile Herman,Avenue Emile Herman,46,,,01-01-2019
14166,0401.791.717,REGO,,,7100,La Louvière,La Louvière,Rue Ernest Milcamps(L.L),Rue Ernest Milcamps(L.L),13,,,
14173,0401.792.608,REGO,,,7181,Seneffe,Seneffe,Hameau du Bois d'Arpes,Hameau du Bois d'Arpes,1,,,
14176,0401.793.004,REGO,,,7100,La Louvière,La Louvière,Rue Sylvain Guyaux(L.L),Rue Sylvain Guyaux(L.L),73,,,
14177,0401.793.103,REGO,,,7170,Manage,Manage,Place Communale,Place Communale,SN,,,
14182,0401.793.794,REGO,,,7100,La Louvière,La Louvière,Rue de Longtain(L.L),Rue de Longtain(L.L),234,,,
14183,0401.793.893,REGO,,,7100,La Louvière,La Louvière,Rue de Bouvy(L.L),Rue de Bouvy(L.L),176,,,
14184,0401.793.992,REGO,,,1400,Seneffe,Seneffe,Rue Emile-Vandervelde,Rue Emile-Vandervelde,17,,,
14185,0401.794.289,REGO,,,7170,Manage,Manage,Avenue de Haussy,Avenue de Haussy,1,,,
14187,0401.794.586,REGO,,,7100,La Louvière,La Louvière,Rue du Parc(L.L),Rue du Parc(L.L),18,,,
14188,0401.794.784,REGO,,,7140,Morlanwelz,Morlanwelz,Chaussée de Mariemont(MLZ),Chaussée de Mariemont(MLZ),24,,,
