,EnterpriseNumber,Status,JuridicalSituation,TypeOfEnterprise,JuridicalForm,StartDate
4388,0212.180.570,AC,0,2,412.0,01-01-1968
6177,0258.327.133,AC,0,2,420.0,15-05-1996
6186,0260.149.347,AC,0,2,420.0,19-12-1996
7205,0400.145.586,AC,0,2,30.0,19-10-1961
7234,0400.152.021,AC,0,2,16.0,01-01-1968
7415,0400.198.145,AC,0,2,21.0,01-03-1906
8069,0400.366.015,AC,0,2,12.0,01-01-1968
10831,0401.005.522,AC,0,2,16.0,01-01-1968
10869,0401.012.549,AC,50,2,15.0,01-01-1966
10905,0401.021.061,AC,50,2,15.0,01-01-1962
11058,0401.059.267,AC,0,2,11.0,01-01-1968
11379,0401.146.567,AC,0,2,16.0,01-01-1968
11381,0401.146.765,AC,12,2,16.0,01-01-1968
11429,0401.158.841,AC,50,2,16.0,08-12-1964
11442,0401.161.712,AC,50,2,16.0,01-01-1968
11452,0401.164.779,AC,50,2,15.0,24-09-1969
11460,0401.167.056,AC,50,2,14.0,01-01-1965
11493,0401.175.370,AC,12,2,16.0,01-01-1968
11521,0401.180.617,AC,50,2,15.0,01-01-1963
11542,0401.185.268,AC,12,2,11.0,01-01-1958
11581,0401.195.067,AC,0,2,16.0,01-01-1968
11588,0401.196.948,AC,50,2,16.0,01-01-1968
11594,0401.198.334,AC,12,2,16.0,25-09-1910
11622,0401.205.757,AC,0,2,16.0,01-01-1968
11640,0401.208.925,AC,10,2,16.0,19-03-1920
11652,0401.211.301,AC,20,2,16.0,01-01-1968
11661,0401.213.576,AC,0,2,17.0,25-01-1960
11664,0401.214.071,AC,0,2,17.0,22-03-1949
11667,0401.214.863,AC,0,2,17.0,25-03-1952
11686,0401.220.011,AC,12,2,16.0,05-12-1915
11737,0401.232.976,AC,0,2,11.0,01-01-1968
11785,0401.244.062,AC,12,2,16.0,18-12-1964
11799,0401.247.230,AC,0,2,30.0,22-02-1925
11823,0401.252.871,AC,0,2,30.0,01-01-1968
11825,0401.253.366,AC,12,2,16.0,01-04-1950
11830,0401.255.643,AC,10,2,11.0,01-01-1968
11837,0401.257.920,AC,0,2,30.0,01-01-1968
11849,0401.260.393,AC,0,2,16.0,01-01-1968
11850,0401.260.492,AC,50,2,16.0,01-01-1968
11905,0401.273.360,AC,0,2,30.0,01-01-1968
11915,0401.275.340,AC,12,2,11.0,01-01-1968
13679,0401.693.232,AC,0,2,17.0,01-01-1968
13821,0401.725.993,AC,12,2,11.0,01-01-1968
13908,0401.745.096,AC,12,2,16.0,01-01-1968
13917,0401.748.066,AC,12,2,16.0,01-01-1949
13937,0401.753.313,AC,0,2,11.0,01-01-1968
13969,0401.762.122,AC,0,2,16.0,01-01-1968
13970,0401.762.518,AC,0,2,16.0,01-01-1968
13988,0401.767.664,AC,12,2,16.0,06-04-1962
13996,0401.770.040,AC,12,2,11.0,01-01-1960
14018,0401.775.681,AC,12,2,16.0,01-01-1968
14020,0401.776.770,AC,10,2,12.0,06-05-1930
14054,0401.786.173,AC,12,2,16.0,27-02-1963
14066,0401.787.856,AC,12,2,16.0,01-01-1968
14078,0401.790.727,AC,0,2,17.0,13-07-1952
14085,0401.791.717,AC,0,2,17.0,01-01-1968
14092,0401.792.608,AC,0,2,17.0,21-01-1963
14095,0401.793.004,AC,0,2,17.0,01-01-1968
14096,0401.793.103,AC,0,2,17.0,01-01-1968
14101,0401.793.794,AC,0,2,17.0,01-01-1968
14102,0401.793.893,AC,0,2,17.0,05-05-1969
14103,0401.793.992,AC,0,2,17.0,04-10-1934
14104,0401.794.289,AC,0,2,17.0,01-01-1968
14106,0401.794.586,AC,0,2,17.0,01-01-1968
14107,0401.794.784,AC,0,2,17.0,05-05-1969
14108,0401.794.883,AC,12,2,17.0,08-05-1965
14110,0401.795.081,AC,0,2,17.0,01-01-1968
17975,0402.668.972,AC,13,2,15.0,01-01-1968
18651,0402.823.083,AC,0,2,15.0,01-01-1968
19157,0402.917.907,AC,13,2,14.0,01-01-1968
